MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,LIVE
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,LIVE
10,LIVE
11,EXC
12,LIVE
13,LIVE
14,LIVE
15,EXC
16,LIVE
17,LIVE
18,LIVE
19,EXC
20,LIVE
21,FAIL
22,FAIL
23,EXC
24,FAIL
25,LIVE
26,LIVE
27,EXC
28,LIVE
29,FAIL
30,FAIL
31,EXC
32,FAIL
33,LIVE
34,LIVE
35,EXC
36,LIVE
37,FAIL
38,EXC
39,EXC
40,EXC
41,LIVE
42,LIVE
43,EXC
44,LIVE
45,LIVE
46,LIVE
47,EXC
48,LIVE
49,FAIL
50,FAIL
51,LIVE
52,LIVE
53,LIVE
54,EXC
55,LIVE
56,EXC
57,LIVE
58,LIVE
59,LIVE
60,LIVE
61,LIVE
62,FAIL
63,FAIL
64,FAIL
65,LIVE
66,EXC
67,LIVE
68,FAIL
69,FAIL
70,FAIL
148,EXC
149,LIVE
150,LIVE
153,EXC
154,LIVE
155,LIVE
156,EXC
157,LIVE
158,LIVE
159,EXC
160,LIVE
161,FAIL
162,LIVE
163,LIVE
164,EXC
165,EXC
166,LIVE
167,LIVE
168,LIVE
169,LIVE
170,LIVE
171,LIVE
172,LIVE
173,LIVE
174,EXC
175,FAIL
176,LIVE
177,EXC
178,EXC
179,EXC
180,EXC
181,EXC
182,LIVE
183,EXC
184,FAIL
185,LIVE
186,LIVE
187,LIVE
188,EXC
189,LIVE
190,FAIL
191,LIVE
192,FAIL
193,EXC
194,LIVE
195,LIVE
196,EXC
197,EXC
198,EXC
199,LIVE
200,EXC
201,EXC
202,EXC
203,LIVE
204,LIVE
205,EXC
206,LIVE
207,LIVE
208,LIVE
209,LIVE
210,LIVE
211,EXC
212,LIVE
213,LIVE
214,LIVE
215,LIVE
216,LIVE
217,LIVE
218,LIVE
219,LIVE
220,LIVE
221,LIVE
222,LIVE
223,LIVE
224,LIVE
225,LIVE
226,LIVE
227,LIVE
228,LIVE
229,LIVE
230,LIVE
231,LIVE
232,LIVE
233,LIVE
234,LIVE
235,LIVE
