MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,EXC
4,LIVE
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,LIVE
10,LIVE
11,EXC
12,LIVE
13,FAIL
14,FAIL
15,EXC
16,FAIL
17,LIVE
18,LIVE
19,EXC
20,LIVE
21,FAIL
22,FAIL
23,EXC
24,FAIL
25,LIVE
26,LIVE
27,EXC
28,LIVE
29,FAIL
30,FAIL
31,EXC
32,FAIL
33,FAIL
34,FAIL
35,EXC
36,FAIL
37,FAIL
38,FAIL
39,EXC
40,FAIL
41,LIVE
42,LIVE
43,EXC
44,LIVE
45,LIVE
46,LIVE
47,EXC
48,LIVE
49,FAIL
50,FAIL
51,EXC
52,EXC
53,FAIL
54,EXC
55,LIVE
56,FAIL
57,LIVE
58,FAIL
59,LIVE
60,LIVE
61,FAIL
62,FAIL
63,FAIL
64,FAIL
65,LIVE
66,FAIL
67,LIVE
68,FAIL
69,FAIL
70,FAIL
71,LIVE
72,EXC
73,LIVE
74,EXC
75,LIVE
76,LIVE
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,LIVE
88,LIVE
89,FAIL
90,LIVE
91,LIVE
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,LIVE
98,LIVE
99,FAIL
103,FAIL
104,FAIL
105,FAIL
106,LIVE
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,LIVE
114,LIVE
115,FAIL
116,TIME
117,FAIL
118,TIME
119,LIVE
120,LIVE
121,FAIL
122,FAIL
123,LIVE
124,LIVE
125,LIVE
126,LIVE
127,LIVE
128,LIVE
129,FAIL
130,LIVE
131,LIVE
132,LIVE
133,FAIL
134,FAIL
135,FAIL
136,TIME
137,FAIL
138,LIVE
139,FAIL
140,FAIL
141,LIVE
142,LIVE
143,EXC
144,LIVE
145,EXC
146,EXC
147,LIVE
148,EXC
149,LIVE
150,LIVE
153,EXC
154,EXC
155,EXC
156,EXC
157,FAIL
158,FAIL
159,EXC
160,FAIL
161,FAIL
162,FAIL
163,FAIL
164,FAIL
165,FAIL
166,LIVE
167,LIVE
168,LIVE
169,LIVE
170,LIVE
171,LIVE
172,FAIL
173,LIVE
174,FAIL
175,FAIL
176,FAIL
177,EXC
178,EXC
179,FAIL
180,FAIL
181,FAIL
