MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,LIVE
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,LIVE
10,LIVE
11,EXC
12,LIVE
13,LIVE
14,LIVE
15,EXC
16,LIVE
17,LIVE
18,LIVE
19,EXC
20,LIVE
21,FAIL
22,FAIL
23,EXC
24,FAIL
25,LIVE
26,LIVE
27,EXC
28,LIVE
29,LIVE
30,LIVE
31,EXC
32,LIVE
33,LIVE
34,LIVE
35,EXC
36,LIVE
37,EXC
38,FAIL
39,EXC
40,FAIL
41,LIVE
42,LIVE
43,EXC
44,LIVE
45,LIVE
46,LIVE
47,EXC
48,LIVE
49,FAIL
50,FAIL
51,LIVE
52,EXC
53,FAIL
54,EXC
55,LIVE
56,EXC
57,LIVE
58,LIVE
59,LIVE
60,LIVE
61,LIVE
62,FAIL
63,FAIL
64,FAIL
65,LIVE
66,EXC
67,LIVE
68,FAIL
69,FAIL
70,FAIL
71,LIVE
72,EXC
73,LIVE
74,EXC
75,LIVE
76,LIVE
77,LIVE
78,LIVE
79,FAIL
80,FAIL
81,LIVE
82,LIVE
83,LIVE
84,LIVE
85,LIVE
86,LIVE
87,LIVE
88,LIVE
89,LIVE
90,LIVE
91,LIVE
92,LIVE
93,LIVE
94,LIVE
95,LIVE
96,LIVE
97,LIVE
98,LIVE
99,LIVE
103,FAIL
104,FAIL
105,FAIL
106,LIVE
107,LIVE
108,LIVE
109,LIVE
110,LIVE
111,LIVE
112,LIVE
113,LIVE
114,LIVE
115,LIVE
116,LIVE
117,LIVE
118,LIVE
119,LIVE
120,LIVE
121,LIVE
122,LIVE
123,LIVE
124,LIVE
125,LIVE
126,LIVE
127,LIVE
128,LIVE
129,LIVE
130,LIVE
131,LIVE
132,LIVE
133,LIVE
134,LIVE
135,FAIL
136,EXC
137,LIVE
138,LIVE
139,FAIL
140,FAIL
141,LIVE
142,LIVE
143,LIVE
144,LIVE
145,EXC
146,EXC
147,LIVE
148,EXC
149,LIVE
150,LIVE
153,EXC
154,LIVE
155,LIVE
156,EXC
157,LIVE
158,LIVE
159,EXC
